date,match,actual,pred_score,hit_1x2,pred_1x2,act_1x2,over25_hit,over35_hit,exact_hit,handicap_hit,verdict_hit,brier,total_goals,score_mae,tier
2026-06-20,突尼斯 vs 日本,0-4,1-2,True,A,A,True,False,False,True,True,0.455,4,1.5,接近
2026-06-20,荷兰 vs 瑞典,5-1,2-1,True,H,H,True,False,False,True,True,0.377,6,1.5,接近
2026-06-20,德国 vs 科特迪瓦,2-1,2-0,True,H,H,True,True,True,False,True,0.198,3,0.5,中等
2026-06-20,厄瓜多尔 vs 库拉索,0-0,2-0,False,H,D,False,True,False,False,False,1.081,0,1.0,中等
2026-06-21,西班牙 vs 沙特,4-0,3-0,True,H,H,True,True,False,True,True,0.078,4,0.5,悬殊
2026-06-21,比利时 vs 伊朗,0-0,2-1,False,H,D,False,True,False,False,False,0.91,0,1.5,中等
2026-06-21,乌拉圭 vs 佛得角,2-2,1-0,False,H,D,False,False,False,False,False,0.858,4,1.5,中等
2026-06-21,新西兰 vs 埃及,1-3,1-2,True,A,A,True,False,False,True,True,0.541,4,0.5,接近
2026-06-22,阿根廷 vs 奥地利,2-0,2-0,True,H,H,False,True,True,True,True,0.243,2,0.0,中等
2026-06-22,法国 vs 伊拉克,3-0,3-0,True,H,H,True,False,True,True,False,0.062,3,0.0,悬殊
2026-06-22,挪威 vs 塞内加尔,3-2,2-1,True,H,H,True,False,False,True,True,0.488,5,1.0,接近
2026-06-22,约旦 vs 阿尔及利亚,1-2,1-2,True,A,A,True,True,True,True,True,0.241,3,0.0,中等
2026-06-23,葡萄牙 vs 乌兹别克斯坦,5-0,3-1,True,H,H,True,False,False,True,True,0.096,5,1.5,悬殊
2026-06-23,英格兰 vs 加纳,0-0,2-1,False,H,D,False,True,False,False,False,1.028,0,1.5,中等
2026-06-23,巴拿马 vs 克罗地亚,0-1,0-2,True,A,A,True,True,True,True,True,0.243,1,0.5,中等
2026-06-23,哥伦比亚 vs 刚果(金),1-0,2-1,True,H,H,False,True,True,True,True,0.242,1,1.0,中等
2026-06-24,瑞士 vs 加拿大,2-1,1-1,False,A,H,True,True,True,True,True,0.657,3,0.5,接近
2026-06-24,波黑 vs 卡塔尔,3-1,2-0,True,H,H,False,False,False,True,True,0.375,4,1.0,接近
2026-06-24,苏格兰 vs 巴西,0-3,1-2,True,A,A,True,True,False,True,True,0.294,3,1.0,中等
2026-06-24,摩洛哥 vs 海地,4-2,3-0,True,H,H,True,False,False,,True,0.063,6,1.5,悬殊
2026-06-24,捷克 vs 墨西哥,0-3,2-1,True,A,A,True,True,False,True,True,0.505,3,2.0,接近
2026-06-24,韩国 vs 南非,0-1,2-1,False,H,A,False,True,False,False,False,0.886,1,1.0,接近
2026-06-25,土耳其 vs 美国,3-2,1-1,False,A,H,True,False,False,,True,0.679,5,1.5,接近
2026-06-25,巴拉圭 vs 澳大利亚,0-0,1-1,False,H,D,True,True,False,,False,0.778,0,1.0,接近
2026-06-25,厄瓜多尔 vs 德国,2-1,1-1,False,A,H,False,True,False,,False,0.745,3,0.5,接近
2026-06-25,库拉索 vs 科特迪瓦,0-2,0-2,True,A,A,False,True,True,,True,0.375,2,0.0,接近
2026-06-25,日本 vs 瑞典,1-1,2-1,False,H,D,False,True,False,,False,0.817,2,0.5,接近
2026-06-25,突尼斯 vs 荷兰,1-3,0-3,True,A,A,True,False,False,,True,0.291,4,0.5,中等
